time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,forecast_bucket_delta,kalshi_forecast_delta,strike_m_3.5,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_3.5,entropy,impact,result,outcome
2024-10-13 13:46:58.519096,3623b41f-67be-4091-b553-76babe3a4aa6,HIGHNY-24OCT13-B69.5,36721.481,32,1.0,71.879,69.5,2,98,0,2.379,0.0,69.5,-2.379,0.0,0.0,0.0,2.0,12.4,78.3,-374.036,-96.078,-98,1
2024-10-13 13:55:42.774879,33f151cb-60c2-413e-bd72-d5db9724bccb,HIGHNY-24OCT13-T72,36197.225,114,3.5,71.803,69.5,31,69,0,-0.197,-2.5,70.5,-2.303,0.0,0.0,0.0,1.458,9.04,31.0,-126.905,-18.254,31,0
2024-10-13 13:55:42.774879,acf31f81-cec3-449e-9714-94d3cbb71a89,HIGHNY-24OCT13-T72,36197.225,2,3.5,71.794,69.5,36,64,0,-0.206,-2.5,70.5,-2.294,0.0,0.0,0.0,1.8,11.16,36.0,-156.986,-13.3,36,0
2024-10-13 13:55:42.774879,53d037de-2b2a-4462-8664-45f35ec168cd,HIGHNY-24OCT13-T72,36197.225,16,3.5,71.806,69.5,35,65,0,-0.194,-2.5,70.5,-2.306,0.0,0.0,0.0,1.62,10.044,35.0,-148.39,-14.256,35,0
2024-10-13 13:59:20.375244,1fc2689a-91a8-4eff-a1aa-150d13f7411d,HIGHNY-24OCT13-B69.5,35979.625,200,1.0,71.499,69.5,7,93,1,1.999,0.0,69.5,-1.999,0.0,0.0,0.0,7.0,8.136,27.9,-123.544,91.084,93,1
2024-10-13 14:10:32.301359,0f4bcced-e176-4e25-a2dd-c6c3e92318cc,HIGHNY-24OCT13-B69.5,35307.699,34,1.0,71.514,69.5,6,94,0,2.014,0.0,69.5,-2.014,0.0,0.0,0.0,6.0,7.322,25.11,-106.264,-92.083,-94,1
2024-10-13 14:26:50.365160,a5751164-0672-4b92-bef4-8ff7f03ac086,HIGHNY-24OCT13-T72,34329.635,3,3.5,71.779,69.5,64,36,1,-0.221,-2.5,70.5,-2.279,0.0,0.0,0.0,5.4,6.59,64.0,-287.7,-13.295,-64,0
2024-10-13 14:26:50.365160,1fc89c29-9fb5-41ab-8a9b-c6f74ce823ec,HIGHNY-24OCT13-T72,34329.635,3,3.5,71.801,69.5,65,35,1,-0.199,-2.5,70.5,-2.301,0.0,0.0,0.0,4.86,5.931,65.0,-289.577,-15.284,-65,0
2024-10-13 14:26:50.365160,011ffa1d-2fc7-41ba-846e-ae67370aac85,HIGHNY-24OCT13-T72,34329.635,60,3.5,71.837,69.5,74,26,1,-0.163,-2.5,70.5,-2.337,0.0,0.0,0.0,4.374,5.338,74.0,-333.895,-24.57,-74,0
2024-10-13 14:26:50.432766,1b9d4bc1-efec-4c38-9cbd-1552445734a7,HIGHNY-24OCT13-B69.5,34329.567,3,1.0,71.867,69.5,3,97,0,2.367,0.0,69.5,-2.367,0.0,0.0,0.0,3.0,4.804,66.6,-290.469,-95.443,-97,1
2024-10-13 14:26:50.464142,a99830d2-f4ab-434f-8456-a3f64d3d4fa2,HIGHNY-24OCT13-B71.5,34329.536,3,3.0,71.714,69.5,52,48,0,0.214,-2.0,71.5,-2.214,0.0,0.0,0.0,2.7,52.0,59.94,-453.501,46.289,52,0
2024-10-13 14:29:53.924372,ae2dec74-5b29-4d67-a2d4-00896cde02ef,HIGHNY-24OCT13-B71.5,34146.076,10,3.0,71.708,69.5,50,50,0,0.208,-2.0,71.5,-2.208,0.0,0.0,0.0,2.43,50.0,53.946,-412.894,44.186,50,0
2024-10-13 14:29:53.924372,1e04da8b-084d-4ed4-b608-b293f7effdaf,HIGHNY-24OCT13-B71.5,34146.076,1,3.0,71.696,69.5,51,49,0,0.196,-2.0,71.5,-2.196,0.0,0.0,0.0,2.187,51.0,48.551,-390.741,45.266,51,0
2024-10-13 14:38:59.077383,51aff639-39f1-405b-b2b6-a2364e56bffc,HIGHNY-24OCT13-T72,33600.923,2,3.5,71.66,69.5,34,66,0,-0.34,-2.5,70.5,-2.16,0.0,0.0,0.0,1.968,45.9,34.0,-296.864,-16.959,34,0
2024-10-13 14:39:18.773388,a98b9412-e2eb-4b2d-92b3-53f440f8e0ea,HIGHNY-24OCT13-T72,33581.227,63,3.5,71.666,69.5,32,68,0,-0.334,-2.5,70.5,-2.166,0.0,0.0,0.0,1.771,41.31,32.0,-265.635,-20.109,32,0
2024-10-13 14:41:37.832532,9e860a18-80bc-4eb8-84f4-5bf6e594a130,HIGHNY-24OCT13-T72,33442.167,50,3.5,71.696,69.5,32,68,1,-0.304,-2.5,70.5,-2.196,0.0,0.0,0.0,1.435,33.461,32.0,-228.883,21.217,-32,0
2024-10-13 14:41:37.832532,e9fdb053-5443-45ce-807d-9b37f588b710,HIGHNY-24OCT13-T72,33442.167,13,3.5,71.69,69.5,34,66,1,-0.31,-2.5,70.5,-2.19,0.0,0.0,0.0,1.594,37.179,34.0,-255.069,19.372,-34,0
2024-10-13 14:55:22.129047,917ba84c-d114-4076-aad7-158e49b3b872,HIGHNY-24OCT13-T72,32617.871,2,3.5,71.747,69.5,41,59,0,-0.253,-2.5,70.5,-2.247,0.0,0.0,0.0,1.291,30.115,41.0,-255.129,-13.247,41,0
